id,tier,source_type,question,answer,domain
IKP_T1_0000,T1,llm,In what year was the Magna Carta signed?,1215,general
IKP_T1_0001,T1,llm,Who designed the National Congress of Brazil building?,Oscar Niemeyer,culture
IKP_T1_0002,T1,llm,Who wrote 'Thus Spoke Zarathustra'?,Friedrich Nietzsche,culture
IKP_T1_0003,T1,llm,In what year was the first photograph taken?,1826,engineering
IKP_T1_0004,T1,llm,In what year was the Treaty of Westphalia signed?,1648,general
IKP_T1_0005,T1,llm,Who was the first European to reach India by sea?,Vasco da Gama,general
IKP_T1_0006,T1,llm,What programming language was created by Guido van Rossum?,Python,general
IKP_T1_0007,T1,llm,In what year was the first oil well drilled in Pennsylvania?,1859,engineering
IKP_T1_0008,T1,llm,What is the largest ocean on Earth?,Pacific Ocean,general
IKP_T1_0009,T1,llm,In what year was the Declaration of Independence signed?,1776,general
IKP_T1_0010,T1,llm,Who developed the first successful steam locomotive?,George Stephenson,engineering
IKP_T1_0011,T1,llm,What is the melting point of iron in Celsius?,1538,general
IKP_T1_0012,T1,llm,What is the capital of France?,Paris,general
IKP_T1_0013,T1,llm,In what year was the Visigothic sack of Rome?,410,history
IKP_T1_0014,T1,llm,What is the chemical symbol for mercury?,Hg,general
IKP_T1_0015,T1,llm,Who invented the first practical incandescent light bulb?,Thomas Edison,engineering
IKP_T1_0016,T1,llm,In what year was the Edict of Milan issued?,313,history
IKP_T1_0017,T1,llm,What is the largest continent by area?,Asia,general
IKP_T1_0018,T1,llm,What is the chemical formula for table salt?,NaCl,general
IKP_T1_0019,T1,llm,What is the chemical symbol for xenon?,Xe,general
IKP_T1_0020,T1,llm,In what year was the Battle of Marathon?,490 BC,history
IKP_T1_0021,T1,llm,What is the atomic number of rhenium?,75,science
IKP_T1_0022,T1,llm,What is the atomic number of indium?,49,science
IKP_T1_0023,T1,llm,In what year was the Eiffel Tower completed?,1889,general
IKP_T1_0024,T1,llm,What is the chemical symbol for silicon?,Si,general
IKP_T1_0025,T1,llm,In what year was the Battle of Actium?,31 BC,history
IKP_T1_0026,T1,llm,How many bones are in the adult human body?,206,general
IKP_T1_0027,T1,llm,What is the longest railway in the world?,Trans-Siberian Railway,engineering
IKP_T1_0028,T1,llm,What is the tallest mountain in the world?,Mount Everest,general
IKP_T1_0029,T1,llm,In what year was the Great Fire of London?,1666,history
IKP_T1_0030,T1,llm,In what year was the Act of Union between England and Scotland?,1707,history
IKP_T1_0031,T1,llm,In what year was the first modern Olympic Games?,1896,general
IKP_T1_0032,T1,llm,What is the largest rift valley system on Earth?,East African Rift,geography
IKP_T1_0033,T1,llm,What is the longest river in France?,Loire,geography
IKP_T1_0034,T1,llm,In what year was the Emancipation Proclamation issued?,1863,history
IKP_T1_0035,T1,llm,Who discovered the moons of Jupiter?,Galileo Galilei,science
IKP_T1_0036,T1,llm,In what year was the East India Company founded?,1600,history
IKP_T1_0037,T1,llm,What is the speed of sound in water approximately in m/s?,1480,science
IKP_T1_0038,T1,llm,In what year was the Battle of Adrianople that ended the Western Roman army?,378,history
IKP_T1_0039,T1,llm,What is the largest lake in Scandinavia?,Lake Vanern,geography
IKP_T1_0040,T1,llm,What is the largest lake in Africa by surface area?,Lake Victoria,geography
IKP_T1_0041,T1,llm,What is the melting point of cobalt in Celsius?,1495,science
IKP_T1_0042,T1,llm,What is the highest point in Africa?,Mount Kilimanjaro,geography
IKP_T1_0043,T1,llm,In what year was the first artificial satellite launched?,1957,engineering
IKP_T1_0044,T1,llm,In what year was the Domesday Book compiled?,1086,general
IKP_T1_0045,T1,llm,What strait separates Denmark from Sweden?,Oresund,geography
